Node	 Parent	 Time	 SigClade
1577	469	6	0
1578	312	6	0
1579	693	8	0
1580	737	4	0
1581	86	6	0
1582	335	5	0
1583	1014	5	0
1584	920	7	0
1585	251	5	0
1586	581	5	0
1587	1014	5	0
1588	81	2	0
1589	380	6	0
1590	420	6	0
1591	539	7	0
1592	207	5	0
1593	177	6	0
1594	363	4	0
1595	42	7	0
1596	64	5	0
1597	516	6	0
1598	124	5	0
1599	431	7	0
1600	1089	7	0
1601	467	4	0
1602	143	4	0
1603	909	7	0
1604	694	6	0
1605	886	6	0
1606	207	5	0
1607	1170	7	0
1608	491	6	0
1609	340	7	0
1610	31	6	0
1611	410	5	0
1612	458	7	0
1613	795	7	0
1614	16	4	0
1615	711	8	0
1616	563	6	0
1617	85	3	0
1618	140	3	0
1619	93	4	0
1620	354	5	0
1621	1067	7	0
1622	38	5	0
1623	4	3	0
1624	667	6	0
1625	157	5	0
1626	742	6	0
1627	92	4	0
1628	289	7	0
1629	202	6	0
1630	458	7	0
1631	16	5	0
1632	102	7	0
1633	766	6	0
1634	357	4	0
1635	141	7	0
1636	887	7	0
1637	679	7	0
1638	380	7	0
1639	1590	6	0
1640	626	4	0
1641	106	3	0
1642	31	6	0
1643	75	7	0
1644	546	9	0
1645	198	5	0
1646	964	6	0
1647	275	6	0
1648	127	2	0
1649	900	7	0
1650	588	6	0
1651	372	7	0
1652	300	7	0
1653	123	3	0
